CaseID,WEIGHT,PROVINCP,PCRUR,PCSIZEP,TYPDWELP,TENURYRP,RPINCTOT,RPMARP,RPAGEGRP,RPSEX,RPWEEKFT,RPWEEKPT,RPHIGHED,RPDISABL,SPINCTOT,SPAGEGRP,SPSEXP,SPWEEKFT,SPWEEKPT,SPHIGHED,SPDISABL,HHTYPEP,CH04TOIP,NMCH0517,NMYT1824,NMAD2564,SE65TOIP,HHSZTOTP,AGEYOUNP,NUMFTP,NUMPTP,HHINCTOT,TOTEXP
730.0,3072.0,24.0,1.0,1.0,5.0,2.0,65000.0,2.0,3.0,1.0,52.0,0.0,6.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,65000.0,36465.0
732.0,12.0,48.0,1.0,1.0,2.0,2.0,150000.0,1.0,3.0,2.0,52.0,0.0,8.0,0.0,300000.0,4.0,1.0,52.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,2.0,0.0,450000.0,219995.0
734.0,446.0,47.0,1.0,1.0,3.0,2.0,40000.0,1.0,10.0,1.0,0.0,0.0,3.0,1.0,23000.0,9.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,99.0,0.0,0.0,63000.0,74786.0
735.0,235.0,12.0,1.0,1.0,5.0,3.0,55000.0,3.0,9.0,2.0,28.0,24.0,7.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,55000.0,36979.0
736.0,450.0,12.0,2.0,3.0,1.0,1.0,16000.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,10000.0,11.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,25.0,0.0,0.0,34000.0,26688.0
737.0,736.0,48.0,1.0,2.0,1.0,1.0,3000.0,1.0,6.0,2.0,0.0,14.0,5.0,0.0,80000.0,7.0,1.0,52.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,6.0,7.0,2.0,3.0,110000.0,57896.0
738.0,265.0,13.0,2.0,3.0,1.0,1.0,4300.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,20000.0,9.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,0.0,24000.0,51416.0
739.0,357.0,13.0,2.0,3.0,1.0,2.0,26000.0,1.0,4.0,1.0,15.0,0.0,1.0,0.0,10000.0,6.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,1.0,37000.0,35123.0
740.0,1996.0,59.0,1.0,1.0,1.0,1.0,50000.0,1.0,9.0,2.0,0.0,20.0,8.0,0.0,21000.0,10.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,99.0,0.0,1.0,71000.0,45994.0
746.0,5193.0,35.0,1.0,1.0,1.0,3.0,29000.0,1.0,5.0,1.0,52.0,0.0,2.0,0.0,21000.0,4.0,2.0,52.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,2.0,0.0,50000.0,52594.0
747.0,2782.0,35.0,1.0,1.0,1.0,2.0,80000.0,1.0,9.0,1.0,52.0,0.0,7.0,0.0,31000.0,8.0,2.0,52.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,22.0,2.0,0.0,110000.0,69382.0
748.0,226.0,10.0,1.0,2.0,1.0,1.0,3600.0,2.0,7.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,6.0,0.0,0.0,0.0,1.0,1.0,2.0,99.0,0.0,0.0,20000.0,13846.0
750.0,443.0,12.0,1.0,1.0,4.0,3.0,18000.0,3.0,10.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,5.0,0.0,0.0,0.0,1.0,1.0,2.0,25.0,0.0,1.0,37000.0,22466.0
754.0,195.0,13.0,2.0,3.0,1.0,1.0,40000.0,2.0,6.0,1.0,52.0,0.0,5.0,0.0,,,,,,,,5.0,0.0,0.0,1.0,1.0,0.0,2.0,22.0,1.0,0.0,40000.0,25668.0
755.0,50.0,60.0,1.0,2.0,1.0,2.0,77000.0,1.0,4.0,2.0,52.0,50.0,2.0,0.0,30000.0,4.0,1.0,40.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,110000.0,73916.0
758.0,2351.0,59.0,1.0,1.0,3.0,2.0,240000.0,1.0,4.0,1.0,52.0,0.0,8.0,0.0,33000.0,3.0,2.0,12.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,270000.0,111227.0
761.0,737.0,46.0,1.0,2.0,1.0,4.0,9300.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,45000.0,8.0,1.0,40.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,11.0,0.0,2.0,67000.0,50901.0
763.0,876.0,46.0,1.0,1.0,1.0,1.0,71000.0,3.0,13.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,71000.0,44016.0
764.0,1423.0,48.0,1.0,1.0,3.0,1.0,72000.0,1.0,7.0,2.0,52.0,0.0,8.0,0.0,48000.0,8.0,1.0,52.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,2.0,0.0,120000.0,50078.0
765.0,1461.0,59.0,1.0,2.0,3.0,4.0,18000.0,2.0,8.0,2.0,0.0,52.0,5.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,0.0,1.0,18000.0,18511.0
